,UNDCON5MUNSA,NHFSEPC,HOUST2FNSA,UNRATENSA,POPTHM
1860-01-01,,,,,
1860-02-01,0.0,0.0,0.0,0.0,0.0
1860-03-01,0.0,0.0,0.0,0.0,0.0
1860-04-01,0.0,0.0,0.0,0.0,0.0
1860-05-01,0.0,0.0,0.0,0.0,0.0
1860-06-01,0.0,0.0,0.0,0.0,0.0
1860-07-01,0.0,0.0,0.0,0.0,0.0
1860-08-01,0.0,0.0,0.0,0.0,0.0
1860-09-01,0.0,0.0,0.0,0.0,0.0
1860-10-01,0.0,0.0,0.0,0.0,0.0
1860-11-01,0.0,0.0,0.0,0.0,0.0
1860-12-01,0.0,0.0,0.0,0.0,0.0
1861-01-01,0.0,0.0,0.0,0.0,0.0
1861-02-01,0.0,0.0,0.0,0.0,0.0
1861-03-01,0.0,0.0,0.0,0.0,0.0
1861-04-01,0.0,0.0,0.0,0.0,0.0
1861-05-01,0.0,0.0,0.0,0.0,0.0
1861-06-01,0.0,0.0,0.0,0.0,0.0
1861-07-01,0.0,0.0,0.0,0.0,0.0
1861-08-01,0.0,0.0,0.0,0.0,0.0
1861-09-01,0.0,0.0,0.0,0.0,0.0
1861-10-01,0.0,0.0,0.0,0.0,0.0
1861-11-01,0.0,0.0,0.0,0.0,0.0
1861-12-01,0.0,0.0,0.0,0.0,0.0
1862-01-01,0.0,0.0,0.0,0.0,0.0
1862-02-01,0.0,0.0,0.0,0.0,0.0
1862-03-01,0.0,0.0,0.0,0.0,0.0
1862-04-01,0.0,0.0,0.0,0.0,0.0
1862-05-01,0.0,0.0,0.0,0.0,0.0
1862-06-01,0.0,0.0,0.0,0.0,0.0
1862-07-01,0.0,0.0,0.0,0.0,0.0
1862-08-01,0.0,0.0,0.0,0.0,0.0
1862-09-01,0.0,0.0,0.0,0.0,0.0
1862-10-01,0.0,0.0,0.0,0.0,0.0
1862-11-01,0.0,0.0,0.0,0.0,0.0
1862-12-01,0.0,0.0,0.0,0.0,0.0
1863-01-01,0.0,0.0,0.0,0.0,0.0
1863-02-01,0.0,0.0,0.0,0.0,0.0
1863-03-01,0.0,0.0,0.0,0.0,0.0
1863-04-01,0.0,0.0,0.0,0.0,0.0
1863-05-01,0.0,0.0,0.0,0.0,0.0
1863-06-01,0.0,0.0,0.0,0.0,0.0
1863-07-01,0.0,0.0,0.0,0.0,0.0
1863-08-01,0.0,0.0,0.0,0.0,0.0
1863-09-01,0.0,0.0,0.0,0.0,0.0
1863-10-01,0.0,0.0,0.0,0.0,0.0
1863-11-01,0.0,0.0,0.0,0.0,0.0
1863-12-01,0.0,0.0,0.0,0.0,0.0
1864-01-01,0.0,0.0,0.0,0.0,0.0
1864-02-01,0.0,0.0,0.0,0.0,0.0
1864-03-01,0.0,0.0,0.0,0.0,0.0
1864-04-01,0.0,0.0,0.0,0.0,0.0
1864-05-01,0.0,0.0,0.0,0.0,0.0
1864-06-01,0.0,0.0,0.0,0.0,0.0
1864-07-01,0.0,0.0,0.0,0.0,0.0
1864-08-01,0.0,0.0,0.0,0.0,0.0
1864-09-01,0.0,0.0,0.0,0.0,0.0
1864-10-01,0.0,0.0,0.0,0.0,0.0
1864-11-01,0.0,0.0,0.0,0.0,0.0
1864-12-01,0.0,0.0,0.0,0.0,0.0
1865-01-01,0.0,0.0,0.0,0.0,0.0
1865-02-01,0.0,0.0,0.0,0.0,0.0
1865-03-01,0.0,0.0,0.0,0.0,0.0
1865-04-01,0.0,0.0,0.0,0.0,0.0
1865-05-01,0.0,0.0,0.0,0.0,0.0
1865-06-01,0.0,0.0,0.0,0.0,0.0
1865-07-01,0.0,0.0,0.0,0.0,0.0
1865-08-01,0.0,0.0,0.0,0.0,0.0
1865-09-01,0.0,0.0,0.0,0.0,0.0
1865-10-01,0.0,0.0,0.0,0.0,0.0
1865-11-01,0.0,0.0,0.0,0.0,0.0
1865-12-01,0.0,0.0,0.0,0.0,0.0
