,Date,GME,SPY,IC
0,2020-01-02,1.5775,303.135559,0.1590008764301988
1,2020-01-03,1.47,300.840179,0.23878357267201963
2,2020-01-06,1.4625,301.987946,0.29702059274146503
3,2020-01-07,1.38,301.138763,0.3442280424732532
4,2020-01-08,1.43,302.743713,0.3851092991434975
5,2020-01-09,1.3875,304.796509,0.4378532153016105
6,2020-01-10,1.3575,303.919342,0.42862440285596975
7,2020-01-13,1.3575,306.009521,0.4129806965237869
8,2020-01-14,1.1775,305.542999,0.3971998756061241
9,2020-01-15,1.1525,306.233582,0.2713741045945473
10,2020-01-16,1.155,308.780853,0.15294548380213283
11,2020-01-17,1.1875,309.741943,0.08961327048213127
12,2020-01-21,1.1475,309.135437,0.10510530445951216
13,2020-01-22,1.14,309.172668,0.03662195653293537
14,2020-01-23,1.155,309.527313,0.05382096333221091
15,2020-01-24,1.08,306.774597,0.04866415590411254
16,2020-01-27,1.07,301.857269,-0.004936407194491308
17,2020-01-28,1.0525,305.020477,-0.0512376743006025
18,2020-01-29,1.0325,304.768494,-0.10831721049249621
19,2020-01-30,0.9825,305.757538,-0.14451983115776448
20,2020-01-31,0.96,300.205688,-0.11081513411744366
21,2020-02-03,0.9875,302.435822,-0.05786563426188825
22,2020-02-04,1.0175,307.045258,0.018578930671535168
23,2020-02-05,1.045,310.591064,0.08510382342549187
24,2020-02-06,1.035,311.636108,0.1309944465611874
25,2020-02-07,0.9525,309.975189,0.1338397861854701
26,2020-02-10,0.985,312.289307,0.154257631951396
27,2020-02-11,1.005,312.830505,0.15353497989250708
28,2020-02-12,1.0475,314.845978,0.14063430474934166
29,2020-02-13,1.0275,314.510101,0.0981253699471923
30,2020-02-14,1.005,315.013947,0.07690597233796338
31,2020-02-18,1.015,314.202148,0.06610509454775725
32,2020-02-19,1.0375,315.704437,0.06073345137043575
33,2020-02-20,1.035,314.407471,0.060833893598467303
34,2020-02-21,1.01,311.169525,0.06472365568102596
35,2020-02-24,0.925,300.849487,0.06621736004894815
36,2020-02-25,0.89,291.733154,0.10428884025883485
37,2020-02-26,0.8475,290.660034,0.14900042944501768
38,2020-02-27,0.8675,277.606049,0.21599915616606133
39,2020-02-28,0.9,276.439636,0.2819592569141306
40,2020-03-02,0.9575,288.411316,0.3349726662130809
41,2020-03-03,0.9075,280.153442,0.41208435964196133
42,2020-03-04,0.9425,291.929016,0.4803977556346468
43,2020-03-05,0.99,282.224854,0.557912397839841
44,2020-03-06,0.98,277.559357,0.6128907460192632
45,2020-03-09,0.925,255.883514,0.6658986473941794
46,2020-03-10,1.0575,269.124176,0.6819078738112485
47,2020-03-11,1.035,256.004791,0.699257045380461
48,2020-03-12,0.995,231.510986,0.7041393445476604
49,2020-03-13,1.1475,251.302017,0.6950910696688014
50,2020-03-16,1.0925,223.803604,0.6881716775758556
51,2020-03-17,1.0575,235.887207,0.693415569699254
52,2020-03-18,0.9425,223.943558,0.6797063203969099
53,2020-03-19,1.0475,224.419403,0.6612928344245874
54,2020-03-20,0.94,214.74823,0.6614501416323663
55,2020-03-23,0.9525,209.257538,0.6535113832699788
